id,technique,family,domain,poison_object,goal,attacker_access,impact,stealth,scalability,cost_efficiency,danger_score,risk_level,why_it_matters,primary_source
B03,Clean-label backdoor,Backdoor poisoning,Vision classifiers,Label-consistent trigger samples,Backdoor without obvious mislabels,Can add plausible labeled samples,5,4,3,3,180,R3 Moderate,Reduces the manual-inspection signal that basic backdoors expose,https://arxiv.org/abs/1912.02771
B04,Hidden-trigger backdoor,Backdoor poisoning,Vision classifiers,Poison samples with hidden trigger effect,Trigger target while poisons look benign,Can add crafted samples,5,5,3,3,225,R2 High,Combines clean-label style stealth with trigger behavior,https://doi.org/10.1609/aaai.v34i07.6871
B05,Input-aware dynamic backdoor,Backdoor poisoning,Vision classifiers,Input-specific trigger generator,Use varied triggers that resist detection,Can poison training process,5,5,4,3,300,R2 High,Dynamic triggers are harder to find than one fixed patch,https://arxiv.org/abs/2010.08138
B06,WaNet warping backdoor,Backdoor poisoning,Vision classifiers,Warped trigger samples,Imperceptible spatial trigger causes target behavior,Can poison training data/process,5,5,4,4,400,R1 Extreme,High stealth with strong trigger behavior and defense evasion claims,https://openreview.net/forum?id=eEn8KTtJOx
B07,NLP character/word/sentence trigger backdoor,Backdoor poisoning,NLP classifiers,Triggered text samples,Trigger text causes target label,Can poison text training data,4,3,5,5,300,R2 High,NLP data often comes from open or weakly curated corpora,https://openreview.net/forum?id=v6UimxiiR78
B08,RIPPLe weight poisoning,Pretrained-model backdoor,NLP pretrained models,Pretrained weights,Backdoor survives downstream fine-tuning,Can publish or supply model weights,5,5,5,3,375,R2 High,Model reuse turns one poisoned artifact into many downstream risks,https://aclanthology.org/2020.acl-main.249/
B09,Layerwise weight poisoning,Pretrained-model backdoor,NLP pretrained models,Layer weights and combinatorial triggers,Make fine-tuned models inherit deep backdoors,Can publish or supply model weights,5,5,5,3,375,R2 High,Combinatorial triggers and layerwise poisoning increase detection difficulty,https://aclanthology.org/2021.emnlp-main.241/
B10,BadPre task-agnostic NLP backdoor,Foundation-model backdoor,NLP foundation models,Pretraining data/model behavior,Backdoor transfers across unknown downstream tasks,Can affect pretraining or release weights,5,5,5,4,500,R1 Extreme,Task-agnostic transfer makes the downstream blast radius large,https://arxiv.org/abs/2110.02467
B11,Sleeper-agent conditional behavior,LLM backdoor/alignment poisoning,Large language models,Fine-tuning behavior,Trigger conditional deceptive or unsafe behavior,Can train/fine-tune model,5,5,4,2,200,R2 High,Backdoor persistence through safety training is the key risk,https://www.anthropic.com/research/sleeper-agents-training-deceptive-llms-that-persist-through-safety-training
B12,Small-sample LLM pretraining backdoor,LLM pretraining poisoning,Large language models,Pretraining documents,Install trigger behavior with small fixed document count,Can insert documents into pretraining corpus,5,5,5,4,500,R1 Extreme,Challenges percentage-based assumptions about web-scale safety,https://www.anthropic.com/research/small-samples-poison
S01,Split-view web poisoning,Web-scale dataset poisoning,Web-crawled datasets,Mutable web content,Show benign data to auditor and poisoned data to trainer,Can control web resources included in datasets,5,5,5,5,625,R1 Extreme,Highly practical for web-scale datasets with mutable URLs,https://arxiv.org/abs/2302.10149
S02,Frontrunning web poisoning,Web-scale dataset poisoning,Snapshot/crowdsourced datasets,Time-window content edits,Poison data just before dataset snapshot,Can edit public content during crawl window,5,4,5,5,500,R1 Extreme,Targets common periodic snapshot pipelines,https://arxiv.org/abs/2302.10149
F01,Federated model replacement,Model poisoning adjacent,Federated learning,Client model update,Replace global model with backdoored model,Malicious selected client,5,4,5,4,400,R1 Extreme,One malicious round can dominate aggregation under some conditions,https://arxiv.org/abs/1807.00459
F02,Distributed backdoor attack DBA,Federated/distributed backdoor,Federated learning,Client-local trigger fragments,Assemble global backdoor across clients,Multiple malicious clients,5,4,5,4,400,R1 Extreme,Distributed trigger fragments exploit federated structure,https://research.ibm.com/publications/dba-distributed-backdoor-attacks-against-federated-learning
F03,ALIE Byzantine update poisoning,Distributed poisoning,Distributed learning,Worker gradients or updates,Degrade convergence while staying within variance,Byzantine workers,4,5,4,4,320,R2 High,Subtle malicious updates can defeat robust aggregation assumptions,https://papers.nips.cc/paper/9069-a-little-is-enough-circumventing-defenses-for-distributed-learning
F04,Non-iid Byzantine heterogeneity exploit,Distributed poisoning,Federated/distributed learning,Worker updates,Exploit heterogeneous data to bypass defenses,Byzantine workers in non-iid setting,4,4,4,3,192,R3 Moderate,Real federated data is often non-iid which weakens simple defenses,https://arxiv.org/abs/2006.09365
R01,PoisonedRAG knowledge corruption,RAG corpus poisoning,RAG systems,Retrieved knowledge documents,Force target answer through retrieved poison,Can insert documents into knowledge base,5,4,5,5,500,R1 Extreme,RAG exposes a direct data surface after model training,https://arxiv.org/abs/2402.07867
R02,Single-document RAG poisoning,RAG corpus poisoning,RAG systems,One high-ranking poisoned document,Outrank correct context with one stealthy document,Can insert one document,5,5,5,5,625,R1 Extreme,Single-document variants increase practicality and stealth,https://arxiv.org/abs/2505.11548
R03,Gradient-guided RAG poisoning,RAG corpus poisoning,RAG systems,Retriever/generator-optimized document,Improve transfer across RAG components,Can insert optimized text into corpus,5,5,4,3,300,R2 High,Optimizes for both retrieval and generation behavior,https://arxiv.org/abs/2506.06151
G01,Nightshade prompt-specific poisoning,Generative model poisoning,Text-to-image diffusion,Prompt-specific poisoned images,Corrupt model response for target concepts,Can publish poisoned images likely to be scraped,4,5,5,4,400,R1 Extreme,Modern generative datasets are concept-sparse and web-scraped,https://arxiv.org/abs/2310.13828
G02,Glaze style cloak,Defensive poisoning/protective perturbation,Text-to-image fine-tuning,Artist-owned images,Prevent style mimicry by misleading fine-tuning,Content owner controls own images,2,5,4,3,120,R3 Moderate,Important as a benign defensive use of poisoning-like perturbations,https://www.usenix.org/conference/usenixsecurity23/presentation/shan
G03,TrojDiff diffusion Trojan,Diffusion backdoor,Diffusion models,Training data/process,Embed triggered generative targets,Can manipulate diffusion training,5,4,4,3,240,R2 High,Shows generative models have backdoor surfaces beyond classifiers,https://arxiv.org/abs/2303.05762
G04,VillanDiffusion,Diffusion backdoor,Diffusion models,Conditional/unconditional diffusion backdoors,Unify backdoor evaluation across diffusion setups,Can manipulate diffusion training,5,4,5,3,300,R2 High,Expands diffusion backdoor analysis to mainstream configurations,https://proceedings.neurips.cc/paper_files/paper/2023/hash/6b055b95d689b1f704d8f92191cdb788-Abstract-Conference.html
G05,Universal imperceptible diffusion backdoor,Diffusion backdoor,Diffusion models,Imperceptible trigger/backdoor pattern,High ASR with stealthy trigger,Can manipulate diffusion training,5,5,5,3,375,R2 High,Stealthier diffusion triggers raise detection difficulty,https://arxiv.org/abs/2412.11441
P01,Universal jailbreak backdoor from poisoned human feedback,Preference/RLHF poisoning,Aligned language models,Human-feedback data,Embed universal trigger that bypasses alignment,Can poison RLHF data,5,5,4,3,300,R2 High,Targets alignment data rather than base pretraining only,https://arxiv.org/abs/2311.14455
P02,Best-of-Venom preference poisoning,Preference/RLHF poisoning,Language-model RLHF,Preference pairs,Manipulate target entities or sentiment,Can inject preference data,4,4,4,4,256,R2 High,Preference datasets are increasingly reused in alignment pipelines,https://arxiv.org/abs/2404.05530
P03,Reward poisoning in offline multi-agent RL,Reward poisoning,Offline reinforcement learning,Reward vectors,Force target policy equilibrium,Can alter offline rewards,5,3,3,3,135,R3 Moderate,RL systems can inherit poisoned reward signals from logged data,https://arxiv.org/abs/2206.01888
P04,Targeted data poisoning for reinforcement learning,RL data poisoning,Reinforcement learning,Offline training data,Trigger targeted policy failure,Can modify training data,5,3,3,2,90,R4 Low,High impact domain but usually stronger assumptions and higher cost,https://arxiv.org/abs/2201.00762
P05,Preference poisoning for offline DPO/RLHF,Preference/RLHF poisoning,Language-model alignment,Preference labels,Manipulate DPO-style alignment with label flips,Can alter preference labels,4,4,4,3,192,R3 Moderate,Very recent line of work showing preference labels are a poisoning surface,https://arxiv.org/abs/2605.02495
